BITSKINS.sellOrder.original.price,BITSKINS.sellOrder.original.currency,BITSKINS.sellOrder.converted.price,BITSKINS.sellOrder.converted.currency,BITSKINS.sellOrder.count,BITSKINS.buyOrder,BITSKINS.updatedAt,SKINBARON.sellOrder.original.price,SKINBARON.sellOrder.original.currency,SKINBARON.sellOrder.converted.price,SKINBARON.sellOrder.converted.currency,SKINBARON.sellOrder.count,SKINBARON.buyOrder,SKINBARON.updatedAt,SKINPORT.sellOrder.original.price,SKINPORT.sellOrder.original.currency,SKINPORT.sellOrder.converted.price,SKINPORT.sellOrder.converted.currency,SKINPORT.sellOrder.count,SKINPORT.buyOrder,SKINPORT.updatedAt,CSFLOAT.sellOrder.original.price,CSFLOAT.sellOrder.original.currency,CSFLOAT.sellOrder.converted.price,CSFLOAT.sellOrder.converted.currency,CSFLOAT.sellOrder.count,CSFLOAT.buyOrder,CSFLOAT.updatedAt,MARKETCSGO.sellOrder.original.price,MARKETCSGO.sellOrder.original.currency,MARKETCSGO.sellOrder.converted.price,MARKETCSGO.sellOrder.converted.currency,MARKETCSGO.sellOrder.count,MARKETCSGO.buyOrder,MARKETCSGO.updatedAt,BUFF163.sellOrder.original.price,BUFF163.sellOrder.original.currency,BUFF163.sellOrder.converted.price,BUFF163.sellOrder.converted.currency,BUFF163.sellOrder.count,BUFF163.buyOrder.original.price,BUFF163.buyOrder.original.currency,BUFF163.buyOrder.converted.price,BUFF163.buyOrder.converted.currency,BUFF163.buyOrder.count,BUFF163.updatedAt,CSMONEY.sellOrder.original.price,CSMONEY.sellOrder.original.currency,CSMONEY.sellOrder.converted.price,CSMONEY.sellOrder.converted.currency,CSMONEY.sellOrder.count,CSMONEY.buyOrder,CSMONEY.updatedAt,DMARKET.sellOrder.original.price,DMARKET.sellOrder.original.currency,DMARKET.sellOrder.converted.price,DMARKET.sellOrder.converted.currency,DMARKET.sellOrder.count,DMARKET.buyOrder.original.price,DMARKET.buyOrder.original.currency,DMARKET.buyOrder.converted.price,DMARKET.buyOrder.converted.currency,DMARKET.buyOrder.count,DMARKET.updatedAt
34.63,USD,34.63,USD,12,,2024-04-14T15:06:06.726Z,30.89,EUR,32.96,USD,49,,2024-04-14T16:04:07.328Z,31.73,EUR,33.73,USD,45,,2024-04-14T16:03:09.408Z,29.97,USD,29.97,USD,47,,2024-04-14T16:01:05.092Z,33.47,USD,33.47,USD,46,,2024-04-14T16:05:05.870Z,241.99,CNY,33.43,USD,683,260,CNY,35.92,USD,267,2024-04-14T15:56:33.911Z,30.59,USD,30.59,USD,61,,2024-04-14T16:04:39.011Z,32.74,USD,32.74,USD,38,36.6,USD,36.6,USD,53,2024-04-14T16:02:04.362Z
59.48,USD,59.48,USD,11,,2024-04-14T15:09:39.794Z,52.95,EUR,56.51,USD,23,,2024-04-14T16:04:07.328Z,54.43,EUR,57.86,USD,41,,2024-04-14T16:03:09.408Z,51.03,USD,51.03,USD,38,,2024-04-14T16:01:05.092Z,61.62,USD,61.62,USD,39,,2024-04-14T16:05:05.870Z,414,CNY,57.2,USD,468,445,CNY,61.49,USD,118,2024-04-14T15:54:41.833Z,56.44,USD,56.44,USD,36,,2024-04-14T16:04:39.014Z,58.3,USD,58.3,USD,21,66.61,USD,66.61,USD,40,2024-04-14T16:02:07.923Z
18.99,USD,18.99,USD,18,,2024-04-14T15:07:11.254Z,18.5,EUR,19.74,USD,12,,2024-04-14T16:04:07.328Z,19.15,EUR,20.36,USD,16,,2024-04-14T16:03:09.408Z,17.9,USD,17.9,USD,13,,2024-04-14T16:01:05.092Z,21.78,USD,21.78,USD,20,,2024-04-14T16:05:05.870Z,139.4,CNY,19.26,USD,20,151,CNY,20.86,USD,23,2024-04-14T15:54:41.833Z,20.59,USD,20.59,USD,11,,2024-04-14T16:04:39.009Z,19.33,USD,19.33,USD,64,18.92,USD,18.92,USD,38,2024-04-14T16:02:07.865Z
19.89,USD,19.89,USD,17,,2024-04-14T15:06:42.529Z,17.2,EUR,18.35,USD,6,,2024-04-14T16:04:07.328Z,17.01,EUR,18.08,USD,24,,2024-04-14T16:03:09.408Z,17.86,USD,17.86,USD,13,,2024-04-14T16:01:05.092Z,18.87,USD,18.87,USD,146,,2024-04-14T16:05:05.870Z,137,CNY,18.93,USD,135,131,CNY,18.1,USD,107,2024-04-14T15:57:36.421Z,18.33,USD,18.33,USD,43,,2024-04-14T16:04:39.021Z,17.5,USD,17.5,USD,37,17.25,USD,17.25,USD,45,2024-04-14T16:02:05.793Z
198,USD,198,USD,9,,2024-04-14T15:15:46.405Z,198,EUR,211.29,USD,11,,2024-04-14T16:04:07.328Z,187,EUR,198.79,USD,33,,2024-04-14T16:03:09.408Z,185,USD,185,USD,17,,2024-04-14T16:01:05.092Z,212.54,USD,212.54,USD,6,,2024-04-14T16:05:05.870Z,1379.8,CNY,190.66,USD,281,1340,CNY,185.16,USD,94,2024-04-14T15:57:36.421Z,198.59,USD,198.59,USD,29,,2024-04-14T16:04:39.029Z,186.29,USD,186.29,USD,14,178,USD,178,USD,14,2024-04-14T16:02:17.953Z
31.17,USD,31.17,USD,51,,2024-04-14T16:00:54.093Z,29.63,EUR,31.62,USD,173,,2024-04-14T16:04:07.328Z,28.59,EUR,30.39,USD,271,,2024-04-14T16:03:09.408Z,29.87,USD,29.87,USD,118,,2024-04-14T16:01:05.092Z,32.87,USD,32.87,USD,152,,2024-04-14T16:05:05.870Z,234,CNY,32.33,USD,3025,243,CNY,33.57,USD,795,2024-04-14T15:55:12.795Z,27.76,USD,27.76,USD,364,,2024-04-14T16:04:39.025Z,30.58,USD,30.58,USD,151,33.5,USD,33.5,USD,89,2024-04-14T16:02:22.248Z
55.51,USD,55.51,USD,38,,2024-04-14T15:38:00.398Z,52.52,EUR,56.05,USD,136,,2024-04-14T16:04:07.328Z,51.07,EUR,54.29,USD,152,,2024-04-14T16:03:09.408Z,53.89,USD,53.89,USD,80,,2024-04-14T16:01:05.092Z,57.7,USD,57.7,USD,88,,2024-04-14T16:05:05.870Z,421,CNY,58.17,USD,2251,540,CNY,74.62,USD,327,2024-04-14T15:58:22.558Z,49.22,USD,49.22,USD,175,,2024-04-14T16:04:39.027Z,54.88,USD,54.88,USD,72,72.67,USD,72.67,USD,50,2024-04-14T16:02:17.815Z
27,USD,27,USD,15,,2024-04-14T15:18:57.595Z,29.22,EUR,31.18,USD,32,,2024-04-14T16:04:07.328Z,28.29,EUR,30.07,USD,15,,2024-04-14T16:03:09.408Z,26.52,USD,26.52,USD,4,,2024-04-14T16:01:05.092Z,29,USD,29,USD,12,,2024-04-14T16:05:05.870Z,201.49,CNY,27.84,USD,38,199,CNY,27.49,USD,26,2024-04-14T16:04:02.903Z,24.5,USD,24.5,USD,25,,2024-04-14T16:04:39.023Z,27.15,USD,27.15,USD,25,27.2,USD,27.2,USD,37,2024-04-14T16:02:22.135Z
6.17,USD,6.17,USD,11,,2024-04-14T15:12:30.256Z,5.5,EUR,5.87,USD,14,,2024-04-14T16:04:07.328Z,6,EUR,6.38,USD,22,,2024-04-14T16:03:09.408Z,4.33,USD,4.33,USD,11,,2024-04-14T16:01:05.092Z,5.74,USD,5.74,USD,32,,2024-04-14T16:05:05.870Z,37.4,CNY,5.16,USD,126,34.7,CNY,4.79,USD,7,2024-04-14T15:55:12.795Z,5.28,USD,5.28,USD,16,,2024-04-14T16:04:39.008Z,5.34,USD,5.34,USD,21,4.58,USD,4.58,USD,15,2024-04-14T16:02:13.204Z
16,USD,16,USD,7,,2024-04-14T15:16:14.137Z,13.93,EUR,14.87,USD,16,,2024-04-14T16:04:07.328Z,15.19,EUR,16.15,USD,25,,2024-04-14T16:03:09.408Z,14.99,USD,14.99,USD,36,,2024-04-14T16:01:05.092Z,16.3,USD,16.3,USD,13,,2024-04-14T16:05:05.870Z,104.99,CNY,14.5,USD,385,195,CNY,26.94,USD,156,2024-04-14T15:56:49.405Z,14.04,USD,14.04,USD,30,,2024-04-14T16:04:39.015Z,14.3,USD,14.3,USD,25,19.86,USD,19.86,USD,28,2024-04-14T16:02:18.699Z
